date,day,workout_type,distance_mi,pace_range,pace_min,pace_max,notes
2026-06-02,Tuesday,Easy Run,3,"10:15-11:00",10:15,11:00,"Shake out the legs"
2026-06-03,Wednesday,5K Training Run,3.1,"9:12 (actual)",9:12,9:12,"Benchmark run — 28:31 completed!"
2026-06-05,Thursday,Tempo Run,2,"9:05-9:25",9:05,9:25,"5-min warm-up, 2mi tempo, 5-min cool-down"
2026-06-08,Sunday,Long Run,5,"10:15-11:15",10:15,11:15,"Slow and steady; hydrate well"
2026-06-09,Tuesday,Easy Run,3,"10:15-11:00",10:15,11:00,"Keep it conversational"
2026-06-11,Thursday,Tempo Run,2.5,"9:05-9:25",9:05,9:25,"Warm-up + tempo + cool-down"
2026-06-14,Sunday,Long Run,6,"10:15-11:15",10:15,11:15,"Focus on time on feet"
2026-06-16,Tuesday,Easy Run,3.5,"10:15-11:00",10:15,11:00,"Relax and breathe easy"
2026-06-18,Thursday,Tempo Run,3,"9:05-9:25",9:05,9:25,"Push comfortably hard"
2026-06-21,Sunday,Long Run,7,"10:15-11:15",10:15,11:15,"Bring fuel/water for 7+ miles"
2026-06-23,Tuesday,Easy Run,3,"10:15-11:00",10:15,11:00,"Extra easy; let body recover"
2026-06-25,Thursday,Tempo Run,2.5,"9:05-9:25",9:05,9:25,"Lighter effort this week"
2026-06-28,Sunday,Long Run,6,"10:15-11:15",10:15,11:15,"Back off — recovery is training"
2026-06-30,Tuesday,Easy Run,4,"10:15-11:00",10:15,11:00,"Stay in easy zone"
2026-07-02,Thursday,Tempo Run,3,"9:05-9:25",9:05,9:25,"Steady tempo effort"
2026-07-05,Sunday,Long Run,8,"10:15-11:15",10:15,11:15,"Plan route; carry water"
2026-07-07,Tuesday,Easy Run,4,"10:15-11:00",10:15,11:00,"Comfortable and controlled"
2026-07-09,Thursday,Tempo Run,3.5,"9:05-9:25",9:05,9:25,"Include strides at end if feeling good"
2026-07-12,Sunday,Long Run,9,"10:15-11:15",10:15,11:15,"Practice race-day nutrition"
2026-07-14,Tuesday,Easy Run,4.5,"10:15-11:00",10:15,11:00,"Feeling stronger now"
2026-07-16,Thursday,Tempo Run,4,"9:05-9:25",9:05,9:25,"1mi warm-up + 4mi tempo + 1mi cool-down"
2026-07-19,Sunday,Long Run,10,"10:15-11:15",10:15,11:15,"Big milestone — 10 miles!"
2026-07-21,Tuesday,Easy Run,3.5,"10:15-11:00",10:15,11:00,"Dial back the effort"
2026-07-23,Thursday,Tempo Run,3,"9:05-9:25",9:05,9:25,"Moderate tempo"
2026-07-26,Sunday,Long Run,8,"10:15-11:15",10:15,11:15,"Easy pace — no pushing"
2026-07-28,Tuesday,Easy Run,5,"10:15-11:00",10:15,11:00,"Consistent easy effort"
2026-07-30,Thursday,Tempo Run,4,"9:05-9:25",9:05,9:25,"Strong and controlled"
2026-08-02,Sunday,Long Run,11,"10:15-11:15",10:15,11:15,"Longest run yet — fuel every 45 min"
2026-08-04,Tuesday,Easy Run,5,"10:15-11:00",10:15,11:00,"Feel the fitness gains"
2026-08-06,Thursday,Tempo Run,4.5,"9:05-9:25",9:05,9:25,"Confidence builder"
2026-08-09,Sunday,Long Run,12,"10:15-11:15",10:15,11:15,"Peak long run — you've earned this!"
2026-08-11,Tuesday,Easy Run,5,"10:15-11:00",10:15,11:00,"Stay strong and consistent"
2026-08-13,Thursday,Tempo Run,4,"9:05-9:25",9:05,9:25,"Keep intensity high"
2026-08-16,Sunday,Long Run,12,"10:15-11:15",10:15,11:15,"Second peak run — cement your fitness"
2026-08-18,Tuesday,Easy Run,4,"10:15-11:00",10:15,11:00,"Start pulling back volume"
2026-08-20,Thursday,Tempo Run,3.5,"9:05-9:25",9:05,9:25,"Keep intensity, reduce miles"
2026-08-23,Sunday,Long Run,10,"10:15-11:15",10:15,11:15,"Last double-digit long run"
2026-08-25,Tuesday,Easy Run,3,"10:15-11:00",10:15,11:00,"Short and sweet"
2026-08-27,Thursday,Tempo Run,3,"9:05-9:25",9:05,9:25,"Keep legs sharp"
2026-08-30,Sunday,Long Run,7,"10:15-11:15",10:15,11:15,"Final tune-up — feel the freshness"
2026-09-01,Tuesday,Easy Run,3,"10:15-11:00",10:15,11:00,"Shake out the legs, stay loose"
2026-09-03,Thursday,Easy + Strides,2,"Easy + race pace strides",9:15,9:40,"4–6 × 20-sec strides at race pace"
2026-09-04,Friday,Rest,0,"",,"Lay out gear, prep nutrition"
2026-09-05,Saturday,Rest,0,"",,"Hydrate, light walk, early bedtime"
2026-09-06,Sunday,Race Day,13.1,"9:15-9:40",9:15,9:40,"Go get it, Joel!"
